pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-09-29,94.0,-1.19,5.79,"Mize, Casey",676113,663554,walk,ball,,,,,11,Zach DeLoach walks.,R,L,R,DET,CWS,B,,,3,2,2024,-0.73,1.3,-1.4,3.3,,673357.0,,0,7,Top,,,,,668670,,,1.0924530612691368,-136.92112934134653,-3.6621460438304014,-9.474359277431898,30.19066733280209,-15.249538764447973,3.15,1.46,,,,95.3,2111.0,7.0,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.5,,0.689131,0.7,1.0,0.0,0.0,,56,9,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,216.0,-0.019,0.359,,
FS,2024-09-29,88.2,-1.38,5.5,"Mize, Casey",676113,663554,,foul,,,,,14,Zach DeLoach walks.,R,L,R,DET,CWS,S,,,3,2,2024,-1.27,0.23,0.28,1.01,,673357.0,,0,7,Top,,,,,668670,,,6.745088425640847,-128.28206194554366,-5.393388746257377,-15.38772303279611,25.18649089094197,-28.699788773355905,3.37,1.59,,,,89.3,1302.0,6.9,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.61,,,,,,,,56,8,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,242.0,0.0,0.0,74.64002,7.62243
SL,2024-09-29,85.8,-1.45,5.54,"Mize, Casey",676113,663554,,foul,,,,,14,Zach DeLoach walks.,R,L,R,DET,CWS,S,,,3,2,2024,0.17,-0.07,0.93,1.9,,673357.0,,0,7,Top,,,,,668670,,,5.334679809014165,-124.85492946437402,-2.2492528082064687,0.7380227722533772,24.62457947465694,-32.65002965069263,3.37,1.59,51.0,80.7,1.0,86.9,2227.0,7.0,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.54,,,,,,,,56,7,Slider,4,5,5,4,5,4,5,4,Standard,Standard,87.0,0.0,0.0,71.52688,7.67856
FS,2024-09-29,88.0,-1.46,5.55,"Mize, Casey",676113,663554,,ball,,,,,13,Zach DeLoach walks.,R,L,R,DET,CWS,B,,,2,2,2024,-1.21,0.39,-0.66,1.17,,673357.0,,0,7,Top,,,,,668670,,,4.489763100251242,-128.03503535100873,-5.43833111747294,-14.278180223680543,24.40340420377313,-26.95551564599589,3.17,1.46,,,,89.2,1321.0,6.9,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.61,,,,,,,,56,6,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,241.0,0.0,0.085,,
KC,2024-09-29,81.9,-1.4,5.55,"Mize, Casey",676113,663554,,foul,,,,,7,Zach DeLoach walks.,R,L,R,DET,CWS,S,,,2,2,2024,0.52,-0.9,-0.54,1.67,,673357.0,,0,7,Top,,,,,668670,,,0.9665557834322068,-119.3796174751942,-0.503469995235959,4.806353817732095,22.557043744946057,-40.87501482561054,3.37,1.59,133.0,64.0,26.0,82.9,1989.0,6.8,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.65,,,,,,,,56,5,Knuckle Curve,4,5,5,4,5,4,5,4,Standard,Standard,29.0,0.0,0.0,67.74365,6.82236
FF,2024-09-29,95.9,-1.09,5.84,"Mize, Casey",676113,663554,,called_strike,,,,,1,Zach DeLoach walks.,R,L,R,DET,CWS,S,,,2,1,2024,-0.72,1.29,-0.28,3.16,,673357.0,,0,7,Top,,,,,668670,,,3.79525115822875,-139.62828376993855,-4.471266048467198,-10.262323369280368,29.250171560777403,-14.42819742287225,3.2,1.34,,,,97.2,2276.0,6.8,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.66,,,,,,,,56,4,4-Seam Fastball,4,5,5,4,5,4,5,4,Standard,Standard,215.0,0.0,-0.083,,
FS,2024-09-29,87.6,-1.58,5.53,"Mize, Casey",676113,663554,,ball,,,,,13,Zach DeLoach walks.,R,L,R,DET,CWS,B,,,1,1,2024,-1.19,0.23,-0.02,0.85,,673357.0,,0,7,Top,,,,,668670,,,6.276296002840176,-127.41147449585256,-5.753682529073876,-14.194348021912914,22.68835979628662,-28.80667495172723,3.25,1.46,,,,88.9,1250.0,6.8,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.68,,,,,,,,56,3,Split-Finger,4,5,5,4,5,4,5,4,Standard,Standard,243.0,0.0,0.056,,
FS,2024-09-29,89.0,-1.39,5.54,"Mize, Casey",676113,663554,,called_strike,,,,,5,Zach DeLoach walks.,R,L,R,DET,CWS,S,,,1,0,2024,-1.1,0.48,0.23,2.06,,,673357.0,0,7,Top,,,,,668670,,,6.343738203533375,-129.52460371025882,-3.62776076156434,-13.66851950809756,23.445791723891777,-26.21180804563478,3.2,1.52,,,,90.3,1402.0,6.8,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.75,,,,,,,,56,2,Split-Finger,4,5,5,4,5,4,5,4,Infield shade,Strategic,235.0,-0.031,-0.074,,
FF,2024-09-29,95.0,-1.01,5.79,"Mize, Casey",676113,663554,,ball,,,,,12,Zach DeLoach walks.,R,L,R,DET,CWS,B,,,0,0,2024,-0.65,1.33,0.17,4.08,,,673357.0,0,7,Top,,,,,668670,,,4.584702304090248,-138.36186422890447,-1.8472275309629544,-9.28468294834716,28.59776304175349,-14.811830044196784,3.23,1.49,,,,96.2,2180.0,6.8,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.74,,,,,,,,56,1,4-Seam Fastball,4,5,5,4,5,4,5,4,Infield shade,Strategic,213.0,0.0,0.062,,
SL,2024-09-29,87.4,-1.34,5.59,"Mize, Casey",673357,663554,single,hit_into_play,,,,,9,Luis Robert Jr.  singles on a sharp line drive to center fielder Parker Meadows.,R,R,R,DET,CWS,X,8.0,line_drive,0,0,2024,0.1,0.26,0.75,1.96,,,,0,7,Top,120.1,82.48,,,668670,,,4.892528310938526,-127.2391038047762,-3.169172674803454,0.1132421098148569,26.42070571358531,-28.9521880787214,3.76,1.72,231.0,104.9,9.0,88.5,2082.0,7.0,746416,663554,668670,679529,628451,663837,700242,682985,678009,672761,53.52,0.743,0.71,0.9,1.0,1.0,0.0,4.0,55,1,Slider,4,5,5,4,5,4,5,4,Standard,Standard,186.0,-0.037,0.402,74.17767,8.09448
